Primarykey;Unique row id (generated via ID and Date);;;
ID;User id;;;
Date;Timestamp;YYYY-MM-DD;;
week;calender week;;;
;;;;
Phone Screen Time;;;;
Communication.ICT;Mobile Screen Time - Communication technologies;Seconds;;
Entertainment;Mobile Screen Time - Entertainment Media;Seconds;;
Other;Mobile Screen Time - Uncategorized;Seconds;;
Study...Work.ICT;Mobile Screen Time - Study Work Related Media;Seconds;;
Social.Media;Mobile Screen Time - Social Media;Seconds;;
;;;;
Phone Frequencies ;;;;
Communication.ICT_frequency;Mobile Frequencies - Communication technologies;Number;;
Entertainment_frequency;Mobile Frequencies - Entertainment Media;Number;;
Other_frequency;Mobile Frequencies - Uncategorized;Number;;
Study...Work.ICT_frequency;Mobile Frequencies - Study Work Related Media;Number;;
Social.Media_frequency;Mobile Frequencies - Social Media;Number;;
;;;;
Tablet Screen Time;;;;
Communication.ICT_tablet;Mobile Screen Time - Communication technologies;Seconds;;
Entertainment_tablet;Mobile Screen Time - Entertainment Media;Seconds;;
Other_tablet;Mobile Screen Time - Uncategorized;Seconds;;
Study...Work.ICT_tablet;Mobile Screen Time - Study Work Related Media;Seconds;;
Social.Media_tablet;Mobile Screen Time - Social Media;Seconds;;
;;;;
Tablet Frequencies ;;;;
Communication.ICT_frequency_tablet;Mobile Frequencies - Communication technologies;Number;;
Entertainment_frequency_tablet;Mobile Frequencies - Entertainment Media;Number;;
Other_frequency_tablet;Mobile Frequencies - Uncategorized;Number;;
Study...Work.ICT_frequency_tablet;Mobile Frequencies - Study Work Related Media;Number;;
Social.Media_frequency_tablet;Mobile Frequencies - Social Media;Number;;
;;;;
PC Screen Time;;;;
ST_Communication_PC;Screen Time - Communication technologie;Seconds;;
ST_Enterteinment_PC;Screen Time - Entertainment Media;Seconds;;
ST_Other_PC;Screen Time - Uncategorized ;Seconds;;
ST_study_work_PC;Screen Time - Study Work Related Media;Seconds;;
ST_social_media_PC;Screen Time - Social Media;Seconds;;
;;;;
;;;;
Summarized Variable;ID;Topic;Question/Statement;Type
MO_Cognitive_Well_Being;DM01_01;Cognitive Well-Being ;How positively did you feel about yourself this morning?;Likert 1-7 (Not at all - Extremly)
;DM01_02;Cognitive Well-Being ;Thinking about your life, how satisfied are you with how things go this morning?;Likert 1-7 (Not at all - Extremly)
;DM01_03;Cognitive Well-Being ;How optimistic are you about how your life will be today?;Likert 1-7 (Not at all - Extremly)
MO_Affective_Well_Being_Positive;DM02_01;Affective Well-Being - Positive ;I feel happy this morning.;Likert 1-7 (Not at all - Extremly)
;DM02_02;Affective Well-Being - Positive ;I feel excited this morning.;Likert 1-7 (Not at all - Extremly)
;DM02_03;Affective Well-Being - Positive ;I feel enthusiastic this morning.;Likert 1-7 (Not at all - Extremly)
;DM02_04;Affective Well-Being - Positive ;I feel inspired this morning.;Likert 1-7 (Not at all - Extremly)
MO_Affective_Well_Being_Negative;DM03_01;Affective Well-Being - Negative (reversed);I feel sad this morning.;Likert 1-7 (Not at all - Extremly)
;DM03_02;Affective Well-Being - Negative (reversed);I feel irritable this morning.;Likert 1-7 (Not at all - Extremly)
;DM03_03;Affective Well-Being - Negative (reversed);I feel distressed this morning.;Likert 1-7 (Not at all - Extremly)
;DM03_04;Affective Well-Being - Negative (reversed);I feel afraid this morning.;Likert 1-7 (Not at all - Extremly)
MO_Anger_Anxiety;DM04_01;Anger (and Anxiety) ;I feel angry this morning.;Likert 1-7 (Not at all - Extremly)
;DM04_02;Anger (and Anxiety) ;I feel mad this morning.;Likert 1-7 (Not at all - Extremly)
;DM04_03;Anger (and Anxiety); I feel enraged this morning.;Likert 1-7 (Not at all - Extremly)
;DM04_04;Anger (and Anxiety) ;I feel anxious this morning.;Likert 1-7 (Not at all - Extremly)
MO_Engagement;DM05_01;Engagement ;This morning I feel strong and vigorous.;Likert 1-7 (Strongly disagree - Strongly agree)
MO_Resource_Depletion;DM06_01;Resource Depletion ;My energy is running low this morning.;Likert 1-7 (Strongly disagree - Strongly agree)
MO_Time_to_Bed;DM07_01;Time to Bed ;When did you go to bed? ;Time
MO_Time_Asleep;DM08_01;Time Asleep ;When did you fall asleep?;Time
MO_Time_Awake;DM09_01;Time Awake ;When did you wake up?;Time
MO_Time_Got_U;DM10_01;Time Got Up ;When did you get out of bed?;Time
