Datum,Workout-Name,Dauer,Name der Übung,Reihenfolge festlegen,Gewicht,Wiederh.,Entfernung,Sekunden,Notizen,Workout-Notizen,RPE
2018-07-17 01:23:40,"Push Tag v1 1/3 #1",42min,"Bench Press (Barbell)",1,50.0,8,0,0,"","",
2018-07-17 01:23:40,"Push Tag v1 1/3 #1",42min,"Bench Press (Barbell)",2,50.0,6,0,0,,,
2018-07-17 01:23:40,"Push Tag v1 1/3 #1",42min,"Bench Press (Barbell)",3,50.0,7,0,0,,,
2018-07-17 01:23:40,"Push Tag v1 1/3 #1",42min,"Bench Press (Barbell)",4,50.0,5,0,0,,,
2018-07-17 01:23:40,"Push Tag v1 1/3 #1",42min,"Incline Bench Press (Barbell)",1,35.0,8,0,0,"",,
2018-07-17 01:23:40,"Push Tag v1 1/3 #1",42min,"Incline Bench Press (Barbell)",2,35.0,7,0,0,,,
2018-07-17 01:23:40,"Push Tag v1 1/3 #1",42min,"Triceps Extension (Dumbbell)",1,20.0,8,0,0,"",,
2018-07-17 01:23:40,"Push Tag v1 1/3 #1",42min,"Triceps Extension",1,15.0,8,0,0,"",,
2018-07-17 01:23:40,"Push Tag v1 1/3 #1",42min,"Triceps Extension",2,15.0,8,0,0,,,
2018-07-17 01:23:40,"Push Tag v1 1/3 #1",42min,"Triceps Extension",3,15.0,6,0,0,,,
2018-07-18 22:55:03,"Pull Tag v1 2/3 #1",42min,"Pull Up",1,0.0,4,0,0,"","",
2018-07-18 22:55:03,"Pull Tag v1 2/3 #1",42min,"Pull Up",2,0.0,5,0,0,,,
2018-07-18 22:55:03,"Pull Tag v1 2/3 #1",42min,"Pull Up",3,0.0,3,0,0,,,
2018-07-18 22:55:03,"Pull Tag v1 2/3 #1",42min,"Lat Pulldown (Cable)",1,47.0,8,0,0,"",,
2018-07-18 22:55:03,"Pull Tag v1 2/3 #1",42min,"Lat Pulldown (Cable)",2,47.0,6,0,0,,,
2018-07-18 22:55:03,"Pull Tag v1 2/3 #1",42min,"Lat Pulldown (Cable)",3,40.0,10,0,0,,,
2018-07-18 22:55:03,"Pull Tag v1 2/3 #1",42min,"hinter Schultern",1,5.0,12,0,0,"",,
2018-07-18 22:55:03,"Pull Tag v1 2/3 #1",42min,"hinter Schultern",2,5.0,12,0,0,,,
2018-07-18 22:55:03,"Pull Tag v1 2/3 #1",42min,"hinter Schultern",3,5.0,12,0,0,,,
2018-07-18 22:55:03,"Pull Tag v1 2/3 #1",42min,"Bicep Curl (Barbell)",1,20.0,7,0,0,"",,
2018-07-18 22:55:03,"Pull Tag v1 2/3 #1",42min,"Bicep Curl (Barbell)",2,15.0,8,0,0,,,
2018-07-18 22:55:03,"Pull Tag v1 2/3 #1",42min,"Bicep Curl (Barbell)",3,15.0,8,0,0,,,
2018-07-18 22:55:03,"Pull Tag v1 2/3 #1",42min,"Bicep Curl (Barbell)",4,15.0,8,0,0,,,
2018-07-18 22:55:03,"Pull Tag v1 2/3 #1",42min,"Bicep Curl (Barbell)",5,15.0,8,0,0,,,
2018-07-20 00:19:10,"Push Tag v1 1/3 #2",1h 41min,"Bench Press (Barbell)",1,55.0,6,0,0,"","Bankdrücken Fly ++",
2018-07-20 00:19:10,"Push Tag v1 1/3 #2",1h 41min,"Bench Press (Barbell)",2,50.0,8,0,0,,,
2018-07-20 00:19:10,"Push Tag v1 1/3 #2",1h 41min,"Bench Press (Barbell)",3,50.0,8,0,0,,,
2018-07-20 00:19:10,"Push Tag v1 1/3 #2",1h 41min,"Bench Press (Barbell)",4,50.0,8,0,0,,,
2018-07-20 00:19:10,"Push Tag v1 1/3 #2",1h 41min,"Incline Bench Press (Barbell)",1,35.0,8,0,0,"",,
2018-07-20 00:19:10,"Push Tag v1 1/3 #2",1h 41min,"Incline Bench Press (Barbell)",2,35.0,8,0,0,,,
2018-07-20 00:19:10,"Push Tag v1 1/3 #2",1h 41min,"Incline Bench Press (Barbell)",3,30.0,10,0,0,,,
2018-07-20 00:19:10,"Push Tag v1 1/3 #2",1h 41min,"Chest Fly",1,35.0,10,0,0,"",,
2018-07-20 00:19:10,"Push Tag v1 1/3 #2",1h 41min,"Chest Fly",2,35.0,10,0,0,,,
2018-07-20 00:19:10,"Push Tag v1 1/3 #2",1h 41min,"Chest Fly",3,35.0,10,0,0,,,
2018-07-20 00:19:10,"Push Tag v1 1/3 #2",1h 41min,"Overhead Press (Barbell)",1,25.0,8,0,0,"",,
2018-07-20 00:19:10,"Push Tag v1 1/3 #2",1h 41min,"Overhead Press (Barbell)",2,25.0,9,0,0,,,
